nid,x_mm,y_mm,z_mm,ix,iy,iz
352,-95.0,-2.0833333333333344,-0.5,5,5,1
353,-95.0,-2.0833333333333344,0.0,5,5,2
354,-95.0,-2.0833333333333344,0.5,5,5,3
355,-95.0,-2.0833333333333344,1.0,5,5,4
356,-95.0,0.0,-1.0,5,6,0
357,-95.0,0.0,-0.5,5,6,1
358,-95.0,0.0,0.0,5,6,2
359,-95.0,0.0,0.5,5,6,3
360,-95.0,0.0,1.0,5,6,4
361,-95.0,2.0833333333333313,-1.0,5,7,0
362,-95.0,2.0833333333333313,-0.5,5,7,1
363,-95.0,2.0833333333333313,0.0,5,7,2
364,-95.0,2.0833333333333313,0.5,5,7,3
365,-95.0,2.0833333333333313,1.0,5,7,4
366,-95.0,4.166666666666666,-1.0,5,8,0
367,-95.0,4.166666666666666,-0.5,5,8,1
368,-95.0,4.166666666666666,0.0,5,8,2
369,-95.0,4.166666666666666,0.5,5,8,3
370,-95.0,4.166666666666666,1.0,5,8,4
371,-95.0,6.25,-1.0,5,9,0
372,-95.0,6.25,-0.5,5,9,1
373,-95.0,6.25,0.0,5,9,2
374,-95.0,6.25,0.5,5,9,3
375,-95.0,6.25,1.0,5,9,4
376,-95.0,8.333333333333332,-1.0,5,10,0
377,-95.0,8.333333333333332,-0.5,5,10,1
378,-95.0,8.333333333333332,0.0,5,10,2
379,-95.0,8.333333333333332,0.5,5,10,3
380,-95.0,8.333333333333332,1.0,5,10,4
381,-95.0,10.416666666666666,-1.0,5,11,0
382,-95.0,10.416666666666666,-0.5,5,11,1
383,-95.0,10.416666666666666,0.0,5,11,2
384,-95.0,10.416666666666666,0.5,5,11,3
385,-95.0,10.416666666666666,1.0,5,11,4
386,-95.0,12.5,-1.0,5,12,0
387,-95.0,12.5,-0.5,5,12,1
388,-95.0,12.5,0.0,5,12,2
389,-95.0,12.5,0.5,5,12,3
390,-95.0,12.5,1.0,5,12,4
391,-92.5,-12.5,-1.0,6,0,0
392,-92.5,-12.5,-0.5,6,0,1
393,-92.5,-12.5,0.0,6,0,2
394,-92.5,-12.5,0.5,6,0,3
395,-92.5,-12.5,1.0,6,0,4
396,-92.5,-10.416666666666668,-1.0,6,1,0
397,-92.5,-10.416666666666668,-0.5,6,1,1
398,-92.5,-10.416666666666668,0.0,6,1,2
399,-92.5,-10.416666666666668,0.5,6,1,3
400,-92.5,-10.416666666666668,1.0,6,1,4
401,-92.5,-8.333333333333334,-1.0,6,2,0
402,-92.5,-8.333333333333334,-0.5,6,2,1
403,-92.5,-8.333333333333334,0.0,6,2,2
404,-92.5,-8.333333333333334,0.5,6,2,3
405,-92.5,-8.333333333333334,1.0,6,2,4
406,-92.5,-6.25,-1.0,6,3,0
407,-92.5,-6.25,-0.5,6,3,1
408,-92.5,-6.25,0.0,6,3,2
409,-92.5,-6.25,0.5,6,3,3
410,-92.5,-6.25,1.0,6,3,4
411,-92.5,-4.166666666666667,-1.0,6,4,0
412,-92.5,-4.166666666666667,-0.5,6,4,1
413,-92.5,-4.166666666666667,0.0,6,4,2
414,-92.5,-4.166666666666667,0.5,6,4,3
415,-92.5,-4.166666666666667,1.0,6,4,4
416,-92.5,-2.0833333333333344,-1.0,6,5,0
417,-92.5,-2.0833333333333344,-0.5,6,5,1
418,-92.5,-2.0833333333333344,0.0,6,5,2
419,-92.5,-2.0833333333333344,0.5,6,5,3
420,-92.5,-2.0833333333333344,1.0,6,5,4
421,-92.5,0.0,-1.0,6,6,0
422,-92.5,0.0,-0.5,6,6,1
423,-92.5,0.0,0.0,6,6,2
424,-92.5,0.0,0.5,6,6,3
425,-92.5,0.0,1.0,6,6,4
426,-92.5,2.0833333333333313,-1.0,6,7,0
427,-92.5,2.0833333333333313,-0.5,6,7,1
428,-92.5,2.0833333333333313,0.0,6,7,2
429,-92.5,2.0833333333333313,0.5,6,7,3
430,-92.5,2.0833333333333313,1.0,6,7,4
431,-92.5,4.166666666666666,-1.0,6,8,0
432,-92.5,4.166666666666666,-0.5,6,8,1
433,-92.5,4.166666666666666,0.0,6,8,2
434,-92.5,4.166666666666666,0.5,6,8,3
435,-92.5,4.166666666666666,1.0,6,8,4
436,-92.5,6.25,-1.0,6,9,0
437,-92.5,6.25,-0.5,6,9,1
438,-92.5,6.25,0.0,6,9,2
439,-92.5,6.25,0.5,6,9,3
440,-92.5,6.25,1.0,6,9,4
441,-92.5,8.333333333333332,-1.0,6,10,0
442,-92.5,8.333333333333332,-0.5,6,10,1
443,-92.5,8.333333333333332,0.0,6,10,2
444,-92.5,8.333333333333332,0.5,6,10,3
445,-92.5,8.333333333333332,1.0,6,10,4
446,-92.5,10.416666666666666,-1.0,6,11,0
447,-92.5,10.416666666666666,-0.5,6,11,1
448,-92.5,10.416666666666666,0.0,6,11,2
449,-92.5,10.416666666666666,0.5,6,11,3
450,-92.5,10.416666666666666,1.0,6,11,4
451,-92.5,12.5,-1.0,6,12,0
452,-92.5,12.5,-0.5,6,12,1
453,-92.5,12.5,0.0,6,12,2
454,-92.5,12.5,0.5,6,12,3
455,-92.5,12.5,1.0,6,12,4
456,-90.0,-12.5,-1.0,7,0,0
457,-90.0,-12.5,-0.5,7,0,1
458,-90.0,-12.5,0.0,7,0,2
459,-90.0,-12.5,0.5,7,0,3
460,-90.0,-12.5,1.0,7,0,4
461,-90.0,-10.416666666666668,-1.0,7,1,0
462,-90.0,-10.416666666666668,-0.5,7,1,1
463,-90.0,-10.416666666666668,0.0,7,1,2
464,-90.0,-10.416666666666668,0.5,7,1,3
465,-90.0,-10.416666666666668,1.0,7,1,4
466,-90.0,-8.333333333333334,-1.0,7,2,0
467,-90.0,-8.333333333333334,-0.5,7,2,1
468,-90.0,-8.333333333333334,0.0,7,2,2
469,-90.0,-8.333333333333334,0.5,7,2,3
470,-90.0,-8.333333333333334,1.0,7,2,4
471,-90.0,-6.25,-1.0,7,3,0
472,-90.0,-6.25,-0.5,7,3,1
473,-90.0,-6.25,0.0,7,3,2
474,-90.0,-6.25,0.5,7,3,3
475,-90.0,-6.25,1.0,7,3,4
476,-90.0,-4.166666666666667,-1.0,7,4,0
477,-90.0,-4.166666666666667,-0.5,7,4,1
478,-90.0,-4.166666666666667,0.0,7,4,2
479,-90.0,-4.166666666666667,0.5,7,4,3
480,-90.0,-4.166666666666667,1.0,7,4,4
481,-90.0,-2.0833333333333344,-1.0,7,5,0
482,-90.0,-2.0833333333333344,-0.5,7,5,1
483,-90.0,-2.0833333333333344,0.0,7,5,2
484,-90.0,-2.0833333333333344,0.5,7,5,3
485,-90.0,-2.0833333333333344,1.0,7,5,4
486,-90.0,0.0,-1.0,7,6,0
487,-90.0,0.0,-0.5,7,6,1
488,-90.0,0.0,0.0,7,6,2
489,-90.0,0.0,0.5,7,6,3
490,-90.0,0.0,1.0,7,6,4
491,-90.0,2.0833333333333313,-1.0,7,7,0
492,-90.0,2.0833333333333313,-0.5,7,7,1
493,-90.0,2.0833333333333313,0.0,7,7,2
494,-90.0,2.0833333333333313,0.5,7,7,3
495,-90.0,2.0833333333333313,1.0,7,7,4
496,-90.0,4.166666666666666,-1.0,7,8,0
497,-90.0,4.166666666666666,-0.5,7,8,1
498,-90.0,4.166666666666666,0.0,7,8,2
499,-90.0,4.166666666666666,0.5,7,8,3
500,-90.0,4.166666666666666,1.0,7,8,4
501,-90.0,6.25,-1.0,7,9,0
502,-90.0,6.25,-0.5,7,9,1
503,-90.0,6.25,0.0,7,9,2
504,-90.0,6.25,0.5,7,9,3
505,-90.0,6.25,1.0,7,9,4
506,-90.0,8.333333333333332,-1.0,7,10,0
507,-90.0,8.333333333333332,-0.5,7,10,1
508,-90.0,8.333333333333332,0.0,7,10,2
509,-90.0,8.333333333333332,0.5,7,10,3
510,-90.0,8.333333333333332,1.0,7,10,4
511,-90.0,10.416666666666666,-1.0,7,11,0
512,-90.0,10.416666666666666,-0.5,7,11,1
513,-90.0,10.416666666666666,0.0,7,11,2
514,-90.0,10.416666666666666,0.5,7,11,3
515,-90.0,10.416666666666666,1.0,7,11,4
516,-90.0,12.5,-1.0,7,12,0
517,-90.0,12.5,-0.5,7,12,1
518,-90.0,12.5,0.0,7,12,2
519,-90.0,12.5,0.5,7,12,3
520,-90.0,12.5,1.0,7,12,4
521,-87.5,-12.5,-1.0,8,0,0
522,-87.5,-12.5,-0.5,8,0,1
523,-87.5,-12.5,0.0,8,0,2
524,-87.5,-12.5,0.5,8,0,3
525,-87.5,-12.5,1.0,8,0,4
526,-87.5,-10.416666666666668,-1.0,8,1,0
527,-87.5,-10.416666666666668,-0.5,8,1,1
528,-87.5,-10.416666666666668,0.0,8,1,2
529,-87.5,-10.416666666666668,0.5,8,1,3
530,-87.5,-10.416666666666668,1.0,8,1,4
531,-87.5,-8.333333333333334,-1.0,8,2,0
532,-87.5,-8.333333333333334,-0.5,8,2,1
533,-87.5,-8.333333333333334,0.0,8,2,2
534,-87.5,-8.333333333333334,0.5,8,2,3
535,-87.5,-8.333333333333334,1.0,8,2,4
536,-87.5,-6.25,-1.0,8,3,0
537,-87.5,-6.25,-0.5,8,3,1
538,-87.5,-6.25,0.0,8,3,2
539,-87.5,-6.25,0.5,8,3,3
540,-87.5,-6.25,1.0,8,3,4
541,-87.5,-4.166666666666667,-1.0,8,4,0
542,-87.5,-4.166666666666667,-0.5,8,4,1
543,-87.5,-4.166666666666667,0.0,8,4,2
544,-87.5,-4.166666666666667,0.5,8,4,3
545,-87.5,-4.166666666666667,1.0,8,4,4
546,-87.5,-2.0833333333333344,-1.0,8,5,0
547,-87.5,-2.0833333333333344,-0.5,8,5,1
548,-87.5,-2.0833333333333344,0.0,8,5,2
549,-87.5,-2.0833333333333344,0.5,8,5,3
550,-87.5,-2.0833333333333344,1.0,8,5,4
551,-87.5,0.0,-1.0,8,6,0
552,-87.5,0.0,-0.5,8,6,1
553,-87.5,0.0,0.0,8,6,2
554,-87.5,0.0,0.5,8,6,3
555,-87.5,0.0,1.0,8,6,4
556,-87.5,2.0833333333333313,-1.0,8,7,0
557,-87.5,2.0833333333333313,-0.5,8,7,1
558,-87.5,2.0833333333333313,0.0,8,7,2
559,-87.5,2.0833333333333313,0.5,8,7,3
560,-87.5,2.0833333333333313,1.0,8,7,4
561,-87.5,4.166666666666666,-1.0,8,8,0
562,-87.5,4.166666666666666,-0.5,8,8,1
563,-87.5,4.166666666666666,0.0,8,8,2
564,-87.5,4.166666666666666,0.5,8,8,3
565,-87.5,4.166666666666666,1.0,8,8,4
