engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
0.103462,10.3462,489.8705,0.09845251023590745,540.553481671,0.09587844603747411
0.10362500000000001,10.3625,489.8929,0.09860021623960949,540.6580517625,0.09602565408835949
0.10378,10.378,489.9192,0.09874065263461153,540.7630145759999,0.0961655906604401
0.10394,10.394,489.956,0.09888559855192,540.8820266399999,0.09630996985363428
0.104105,10.4105,489.9915,0.09903505202801051,541.0020651075,0.09645885171797479
0.10428000000000001,10.428,490.0231,0.09919353888638557,541.122708868,0.09661676408225224
0.104432,10.4432,490.0599,0.09933117566314953,541.2378354768001,0.09675385263706952
0.10459,10.459,490.1046,0.09947422539309286,541.3646401139999,0.09689629853540715
0.104755,10.4755,490.1138,0.09962359092930995,541.455671119,0.09704523059064804
0.10492699999999999,10.4927,490.1546,0.09977926943902073,541.5850517142001,0.09720029300228644
0.105095,10.5095,490.1677,0.09993130412494114,541.6818744315,0.09735186662764828
0.105252,10.5252,490.1901,0.10007336326793004,541.7835884051999,0.09749344141838147
0.10541,10.541,490.194,0.10021630687511109,541.86534954,0.09763599568682538
0.105572,10.5572,490.2308,0.10036284809551894,541.9854460176,0.09778196501924466
0.105735,10.5735,490.2532,0.10051027222097526,542.0901221019999,0.09792889068715621
0.105897,10.5897,490.2756,0.1006567703728285,542.1943152132,0.09807489268133707
0.106065,10.6065,490.3032,0.10080867171681455,542.307208908,0.09822625643630027
0.106222,10.6222,490.3295,0.10095060628521689,542.413280149,0.09836768590355499
0.106387,10.6387,490.361,0.10109975148014819,542.529035707,0.09851627988154342
0.10655200000000001,10.6552,490.3794,0.1012488744341074,542.6303058287999,0.09866492059682741
0.106715,10.6715,490.4294,0.10139616800537078,542.7655734209999,0.09881157003669935
0.10688,10.688,490.4465,0.10154524676666685,542.86542192,0.09896017332895256
0.107047,10.7047,490.4833,0.10169610991646062,542.9880658151001,0.09911045246019824
0.107212,10.7212,490.5149,0.10184514397282476,543.1039834588,0.09925893452778287
0.107377,10.7377,490.5372,0.10199415582134863,543.2096129244001,0.09940744337885149
0.10754,10.754,490.5412,0.10214133966642658,543.294000648,0.09955422537762658
0.107705,10.7705,490.5688,0.10229030738810532,543.405512604,0.09970266208999104
0.10787699999999999,10.7877,490.6004,0.10244557133260887,543.5248993508,0.09985735752617649
0.108037,10.8037,490.6043,0.10258998126934654,543.6077167591,0.10000137309430321
0.10819699999999999,10.8197,490.6319,0.10273437035486546,543.7167996843,0.10014524273732117
0.108357,10.8357,490.6543,0.10287873859518616,543.8201279851,0.10028911893811426
0.108522,10.8522,490.6858,0.10302759651689022,543.9360043876,0.10043742506742546
0.108682,10.8682,490.699,0.10317192243392603,544.029148718,0.1005813074400308
